USER NAME,TITLE,URL,DATE,TEXT,FORUM CATEGORY
Shawna James,Product feedback guidelines & how to write a good feedback post,https://support.zendesk.com/hc/en-us/community/posts/6207842944154-Product-feedback-guidelines-how-to-write-a-good-feedback-post,09/29/2023,"Welcome to the Product Feedback Topic for Zendesk's Voice (Talk)!No one knows our products better than you, our users. We love hearing about how you use our tools and what would make them better. This guide is here to help you understand how the product feedback process works, and how to write an effective feedback post. You may also want to check out this short video on giving product feedback at Zendesk.This topic is for product feedback about the ticketing system. Don't worry, if your post should be in another topic, the Zendesk Community Team will move your post to the correct topic.Here are a few guidelines on how to use the Product Feedback topic, so that our Product team can effectively use and apply your feedback to our product planning process:Follow the Community Code of ConductFeedback and constructive criticism are welcome. Disparaging, harassing, mean, or snarky remarks about Zendesk, its employees, vendors, partners, or other community members will not be tolerated. We’re all friends and professionals, so let’s keep it polite. We don’t like having to remove comments, but we reserve the right to do so without warning in order to maintain a positive community experience for everyone.If it's a bug, contact supportThis topic is for sharing ideas about the product. If you're reporting an actual bug, you should contact Zendesk Customer Support so they can assist further.SEARCH before you postWe receive hundreds of feedback posts every month, so there's a good chance someone has already made a suggestion similar to yours. Keeping conversations in existing threads makes them easier for others to find, and helps keep the Community organized. Here's how to filter your search:Vote for suggestions you likeVotes do matter! See a post or comment you like or agree with? Use that up arrow! Feel like making a post that just says ""+1""? Please use the upvote button instead. Post a comment to share your detailed use case.Use the template: Give details, examples, and tell us about the problem you’re trying to solveOur Product Managers are problem solvers! The most helpful Product Feedback posts are the ones that describe the nature and scope of a problem. Please use the template that is auto populated in the description box. Crafted with our PM’s, this template is meant to address the essential questions and provide the most comprehensible information available. Try to share the following information in your post or comment:Feature Request SummaryUse CaseProduct limitation or missing featureBusiness impact of limitation or missing featureOther necessary information or resourcesHere is a template for feature requests that will auto populate when you create a new post with product feedback.It's much easier for us to address a suggestion if we clearly understand the context of the issue, the problem, and why it matters to you.Rest assured we will read your post, but we may not respondOnce you post in our community, your feedback will be logged and acknowledged by a product feedback specialist to let you know it has been received.Our Product Managers dedicate time each week in the community to read your comments, answer your questions, ask you questions about your feedback, and lead conversations around areas they’re focused on.That said, we simply can't respond to everything. (Remember what we said about hundreds of post per month? ...yeah. There just aren’t enough hours in the day!)Zendesk team members may engage in conversations, ask follow-up questions, or even start threads on topics they’re exploring. If your post or comment doesn’t receive a response, don’t worry. We’ve seen it, and we’ll let you know if and when we have any updates to share.Posts are not guaranteed a response, or inclusion in any product backlogs or roadmaps. This forum is simply for sharing your challenges and how you use the product, but it is not a case/resolution system.Our product teams have also committed to providing updates each quarter following their regular roadmap planning meetings. We’ll let you know what we’re incorporating into our roadmap, and what we aren’t.We don’t share timelinesOccasionally, we’ll share very general ideas of what is or isn’t on a roadmap, or roughly when you might expect to see something roll out. However, we do not share specific dates. Any timelines we share are not guaranteed and are subject to change without notice.There are situations where we aren't ready to share what we're up to or it's not reasonable for us to give specifics. While we are as up front as we can be, our roadmap is full of projects and we generally don’t provide timelines for new features or changes. If we do provide a timeline, know that it is subject to change.Post maintenance and archivingRequests that have been inactive (have not received a new comment) for 6+ months will be archived. These are retained internally and remain visible to product managers. This helps to keep the community navigable and helps us prioritize the requests that are most important to the largest number of users.This doesn't mean your idea was bad, or that it will never happen. It just means that it wasn't something that came up for a lot of users. Since we keep records, if the idea pops up again, we’ll aggregate those ideas behind the scenes and know when something keeps coming up.This also means that if there's an idea you like, be sure to stay active in that conversation!Comments that turn disparaging, mean, or are otherwise unhelpful to the conversation may be removed without warning. You're allowed to express frustration or dissatisfaction, just remember there are real people on the other side of the screen. Your boss and your neighbor can see these comments if they Google your name. So keep it civil and professional.Thank you for reading this and for understanding how we address suggestions. We value all feedback and we're happy to have a place to engage in these conversations.",Feedback - Voice (Talk)
Shawna James,Product Feedback + Feature Request Post Template,https://support.zendesk.com/hc/en-us/community/posts/6207873313946-Product-Feedback-Feature-Request-Post-Template,09/29/2023,"We have launched a new feedback form for your product feedback and feature requests. This format is meant to help our PM’s get the most information from you to better understand and log your requests. This format will be rolled out at the end of 2023 and will be enforced as a requirement for all new posts to be logged and/or responded to by product managers.Example:TITLE: Pizza Order ButtonPlease give a quick overview of your product feature request or feedback and note who in your org is affected by this issue [ex. agents, admins, customers, etc.]. (2-3 sentences)I would like to be able to order a pizza from my favorite restaurant directly by opening a Z2 ticket. This feature is currently affecting my agents because they are hungry and my customers because they are dealing with hungry and grumpy agents.What problem do you see this solving? (1-2 sentences)Agent team is working late and they are hungry, but the ticket queue is too high for any of them to leave and get pizza. This button would allow for a quick click, confirmation, and order without having to leave your desk. Customizable order templates for each employee would also be amazing!When was the last time you were affected by this lack of functionality, or specific tool? What happened? How often does this problem occur and how does this impact your business? (3-4 sentences)This problem happens on a daily basis. This is critical for our business as our agents get very hungry which affects their productivity and our customer satisfaction score.Are you currently using a workaround to solve this problem? (If yes, please explain) (1-2 sentences)Yes, my agents have to manually order pizza on their phones using a third party app.What would be your ideal solution to this problem? How would it work or function? (1-2 sentences)I would like to see an option to order pizza in the upper right hand corner of my screen, represented by a pizza emoji which, when I click it, will take me directly to an order form for my nearest pizza shop. It would be great if the system could remember my previous order and use that data to speed up the ordering process.",Feedback - Voice (Talk)
Gabriela Manarim,Resumo gerado pela IA não é assertivo quando cai na caixa postal,https://support.zendesk.com/hc/en-us/community/posts/6517901017242-Resumo-gerado-pela-IA-n%C3%A3o-%C3%A9-assertivo-quando-cai-na-caixa-postal,12/20/2023,"Percebemos que quando estamos realizando uma chamada e cai na caixa postal a IA gera um resumo que não condiz com a realidade.Na verdade o prudente seria algo como ""cliente não atendeu"", mas na verdade ela incluí algo como ""Cliente agradeceu pelo suporte fornecido"".As vezes a IA também confunde quem é o agente e quem é o cliente na hora de gerar os resumos",Feedback - Voice (Talk)
Nick Clark,Voice Generative AI EAP call transcription + summary combine into call details (or reduce size somehow),https://support.zendesk.com/hc/en-us/community/posts/6492909110810-Voice-Generative-AI-EAP-call-transcription-summary-combine-into-call-details-or-reduce-size-somehow-,12/13/2023,"Some of our call transcripts are quite long so scrolling past them can take some time and makes it a bit confusing for our users when having to check a previous response.If possible, it would be great to either combine with the call details or have some way to minimise / hide them (with them being minimised by default) - this mainly applies to the transcription as the summary is short enough that it can be ignored.",Feedback - Voice (Talk)
Nick Clark,Voice Generative AI EAP call transcription + summary don't send email for followers,https://support.zendesk.com/hc/en-us/community/posts/6492756856218-Voice-Generative-AI-EAP-call-transcription-summary-don-t-send-email-for-followers,12/13/2023,"We've disabled the call transcription and summary from sending to the assignee, but would also like to disable it for followers on the ticket (but as these aren't controlled through triggers there is no way for us to prevent them from receiving it).I understand some people wanting to keep it so making it optional would probably be good?",Feedback - Voice (Talk)
Henri Mercier,Long blank after voicemail greeting,https://support.zendesk.com/hc/en-us/community/posts/6489387904794-Long-blank-after-voicemail-greeting,12/13/2023,"Hi, I'm experiencing an issue with the voicemail greeting. My audio file finishes right after the last word, but the 'beep' that prompts the end user to record a voicemail comes after 3 or 4 seconds. It's very annoying. Any suggestions?",Feedback - Voice (Talk)
Jessica Hannes,Voice EAP call transcript duplication,https://support.zendesk.com/hc/en-us/community/posts/6486185052058-Voice-EAP-call-transcript-duplication,12/12/2023,I've noticed some call transcripts in which parts of the call are duplicated in the transcript. Screen shots attached,Feedback - Voice (Talk)
Sean Morrissey,Talk AI Summarization issue,https://support.zendesk.com/hc/en-us/community/posts/6457578782234-Talk-AI-Summarization-issue,12/04/2023,"I am observing on my talk calls that the AI summarization works well. However, on call transfer the summarization does not. I am happy to take this offline and share ticket IDs with support, let me know.",Feedback - Voice (Talk)
Atanas Tomov,Product Feedback: Agent wrap-up time,https://support.zendesk.com/hc/en-us/community/posts/6445730221722-Product-Feedback-Agent-wrap-up-time,12/01/2023,"Hello Team,Currently we can set up wrap-up time only on Phone Number basis. For example 1 phone number with 10 min wrap-up and a dedicated team handling it and 2 min wrap-up time for regular phone lines, considering that regular CSA's will handle calls on this phone number.Issue here is that if an end-user calls the line with the 10 min wrap-up time and this call is being forwarded to / answered by another team with usual wrap-up time 2 min - on this call wrap-up time will be 10 min. We have noticed that agents are abusing this functionality and would like to have an option to set wrap-up time per agent.With this functionality, each agent can have their own wrap-up time based on working speed, knowledge etc.Looking forward to see such an implementation.",Feedback - Voice (Talk)
Aubin Gouthon,SIP trunk integration,https://support.zendesk.com/hc/en-us/community/posts/6419913407386-SIP-trunk-integration,11/24/2023,Does Zendesk support SIP trunk integration ?We would like to send calls to Zendesk contact center via a private SIP trunk.,Feedback - Voice (Talk)
LG_CS.정보기획Part_최재홍,Use Korean phone numbers in Korea,https://support.zendesk.com/hc/en-us/community/posts/6418102111514-Use-Korean-phone-numbers-in-Korea,11/24/2023,"Currently, the company is in South Korea, and we are using CTI through external companies.As far as I know, Zendesk Talk is currently not available in Korea using a Korean phone number (ex. 02-000-0000). When will it be possible to send a call to a Korean phone number in Korea?",Feedback - Voice (Talk)
Nora,'Are You Sure' When Declining Call,https://support.zendesk.com/hc/en-us/community/posts/6393304807578--Are-You-Sure-When-Declining-Call,11/17/2023,"It would be great if we had a pop up when an agent chooses to decline the call - since the accept and decline are close together, it would be beneficial to have a pop up when declining a call saying 'Are you sure you want to decline'. This would give the agent an opportunity to accept if they inadvertently declined the first time.",Feedback - Voice (Talk)
Mario Ritz,Zendesk Talk Live Dashboard Access restriction - default access for agent role,https://support.zendesk.com/hc/en-us/community/posts/6382366777114-Zendesk-Talk-Live-Dashboard-Access-restriction-default-access-for-agent-role,11/15/2023,"The Zendesk talk live dashboard can be accessed by anyone with the ""agent"" role via Support, Talk and Admin pages with no restrictions possible on a Professional Plan. the default setting is ""read access"" for agents instead of ""no access"".The information as listed on Analyzing call activity with the Talk dashboard – Zendesk help is not correct (""To view the dashboard, your account must be a member of theAdminorTeam lead Talk role in Admin Center."" As also confirmed by Zendesk Support the agent role can indeed view the dashboard and while they cannot change other agent status, they can access all data including other agents performance information.Access restriction for this dashboard are hidden behind a paywall (this can only be limited via custom roles only available via Enterprise plan) meaning agents on professional have full read access to call and line live and historic daily data as well as performance data of other agents via the Talk Live dashboard. The dashboard cannot be edited either to remove or hide data not supposed to shared with agents.This is effectively a show stopper and we now need to stop our migration to Zendesk Talk.The default setting for the dashboard for the agent role should be ""no access""",Feedback - Voice (Talk)
Katherine Magee,Pick Calls out of the Talk Queue,https://support.zendesk.com/hc/en-us/community/posts/6379611970842-Pick-Calls-out-of-the-Talk-Queue,11/14/2023,"Ability for Admin to select certain calls that are waiting in the Call Queue. Calls that are in the IVR and have skipped a certain agent, being able to grab and answer those calls and jump the rotation.",Feedback - Voice (Talk)
Brayden,Blind Transfers for Zendesk Talk,https://support.zendesk.com/hc/en-us/community/posts/6358256842394-Blind-Transfers-for-Zendesk-Talk,11/08/2023,"Please give a quick overview of your product feature request or feedback and note who in your org is affected by this issue [ex. agents, admins, customers, etc.]. (2-3 sentences)It affects agents and customers. We are unable to transfer calls to anyone outside of our customer service team, as voicemail is common. When we do transfer to voicemail, customers will often miss a majority of the voicemail message. Unable to transfer calls, we have to provide people with phone numbers instead.What problem do you see this solving? (1-2 sentences)Increased customer service as we are able to ensure that customers are transferred to the correct number and minimize mistakes that come with writing a number down. Significantlyfaster turn around times on phone calls requiring a transfer.When was the last time you were affected by this lack of functionality, or specific tool? What happened? How often does this problem occur and how does this impact your business? (3-4 sentences)It is a daily problem. We receive over 10,000+ inquiries in a year and are not able to transfer a single one of them. It has caused frequent call backs because customers wrote the number incorrectly. We are frequently asked about Zendesk by other Government Ministries and we have to advise that Zendesk is not an option at this time, as it is missing the blind transfer function.Are you currently using a workaround to solve this problem? (If yes, please explain) (1-2 sentences)Yes, we turned off Zendesk Talk and re-instated our previous phone system.What would be your ideal solution to this problem? How would it work or function? (1-2 sentences)An option to transfer calls out without/before the other line picks up. It is a basic function of almost all call software and it is disappointing Zendesk does not have such a simple feature.",Feedback - Voice (Talk)
Atanas Tomov,Product Feedback: Talk Overview reporting,https://support.zendesk.com/hc/en-us/community/posts/6353570788122-Product-Feedback-Talk-Overview-reporting,11/07/2023,"Hello Team,We have received feedback from one of our departments wanting to receive a scheduled report of the graph in the Overview section in Talk.They inquired about the possibility to create such a recurring report which will make a screenshot of pre-filtered attributes and send them automatically.Will it be possible to create this report within the product itself?Seeing such a functionality in Talk will be amazing.",Feedback - Voice (Talk)
Kenny Rohan,Wait time metric for return call from a voicemail,https://support.zendesk.com/hc/en-us/community/posts/6343258915738-Wait-time-metric-for-return-call-from-a-voicemail,11/04/2023,"Hello, in our past call center systems, the wait time for a callback from the time the customer left the voicemail was measurable along with live hold time. I cannot find a method to measure that wait time in Zendesk. This creates an inaccurate wait time metric since the current report only accounts for customers that held live in the queue and does not account for the time it took to call the customer back after they left the voicemail. Please let me know if anything can be done about this. Thanks",Feedback - Voice (Talk)
Amelia French,Create the Ability to not pop open Talk Tickets,https://support.zendesk.com/hc/en-us/community/posts/6334635522330-Create-the-Ability-to-not-pop-open-Talk-Tickets,11/02/2023,"Our agents use Omnichannel routing and are multi-tasking doing messaging tickets and calls at the same time. As the messaging tickets are live, we need the agents to be responding within seconds to the customer's request.When a call comes through it stops the agent in their tracks as they have to wait for the ticket to open after they click Accept and then navigate back to the messaging ticket to continue typing.We would like the ability to stop the tickets from popping up to speed up the workflow. Alternatively, speed up the pop-up process as it can be incredibly slow and buggy.",Feedback - Voice (Talk)
Amy Doherty,Italy mobile number ,https://support.zendesk.com/hc/en-us/community/posts/6324008161434-Italy-mobile-number-,10/31/2023,When will a mobile telephone number be available to in Talk? Currently there is only a local number and no ability to transfer an Italian mobile number to use within Zendesk,Feedback - Voice (Talk)
Stphanie Plavinet,Omnichannel Routing - Differenciate Incoming calls from Completed calls,https://support.zendesk.com/hc/en-us/community/posts/6253044513818-Omnichannel-Routing-Differenciate-Incoming-calls-from-Completed-calls,10/12/2023,"Context: with Zendesk Talk enabled, Omnichannel Routing allows to route only one call at a time (which makes sense).Issue: Zendesk doesn't differentiate an incoming call from a call which were completed hours earlier, but became a written conversation. Consequently, we can't route tickets which were created initially from an incoming call, as if it was an email ticket. These tickets are not calls anymore and shouldn't be identified as Calls.Example: Agent A answered to an incoming call but this call needs to be escalated to Agent B. Agent B is currently not available. Thus, Agent A needs to desynchronize the call. Agent A finishes the call with the customer and assign this ticket to Agent B. Afterwards, as soon as the Agent B comes back, the ticket can't be routed to them because Agent B is available via email only and not for Calls. This is a big limitation here, because even if the Agent B is Online for Calls, they will receive these tickets with completed calls, one by one, instead of getting assigned these tickets according to their capacity. As I said, these tickets are not calls anymore and should be routed according to the Email capacity not Call capacity.",Feedback - Voice (Talk)
Gulzar Shikalgar,Ticket created via talk doen't use different ticket form instead of default,https://support.zendesk.com/hc/en-us/community/posts/6251663075482-Ticket-created-via-talk-doen-t-use-different-ticket-form-instead-of-default,10/12/2023,"I have a use cases where i want Talk to use a explicit ticket form called ""Talking"" instead of Default one. I don't to change my default form, as it might be used by email channel to create a ticket.My observation is when talk agent pickups a call , ticket is created on Default ticket form, and same via email channel.I know a work around to set ticket form to ""Talking"" after ticket is created via trigger. Still we want ""Talking"" form to be used to create ticket instead of default one.",Feedback - Voice (Talk)
Denis Oskolkov,Lack of Keyboard Support in Zendesk Talk Dialer,https://support.zendesk.com/hc/en-us/community/posts/6231080754330-Lack-of-Keyboard-Support-in-Zendesk-Talk-Dialer,10/06/2023,"Hello everyone,Currently, Zendesk Talk Dialer provides keyboard support for entering the initial phone number, which is a great feature that enhances our efficiency. However, when it comes to interacting with an IVR system during a call that requires input, we find that the keyboard functionality is not available. Main use case, calling into a Zoom room. The only way to navigate through the IVR system is to use the mouse to click the buttons on the dialer.While this method gets the job done, it is significantly slower compared to using a keyboard. As you know, in a customer support environment, every second matters. The time difference between using a mouse click and a keyboard can impact our customer service delivery and overall productivity.I am sure that other members of the Zendesk community also share this concern. I believe that extending keyboard support to the whole process in the Zendesk Talk Dialer, especially during IVR interactions, would greatly enhance the user experience and service efficiency.We would greatly appreciate it if the Zendesk team could take this feedback into serious consideration and provide a response regarding potential solutions or planned updates to address this issue.Thank you in advance for your attention to this matter.",Feedback - Voice (Talk)
