USER NAME,TITLE,URL,DATE,TEXT,FORUM CATEGORY
Shawna James,Product feedback guidelines & how to write a good feedback post,https://support.zendesk.com/hc/en-us/community/posts/6207790868122-Product-feedback-guidelines-how-to-write-a-good-feedback-post,09/29/2023,"Welcome to the Product Feedback Topic for Zendesk's Admin Center!No one knows our products better than you, our users. We love hearing about how you use our tools and what would make them better. This guide is here to help you understand how the product feedback process works, and how to write an effective feedback post. You may also want to check out this short video on giving product feedback at Zendesk.This topic is for product feedback about the ticketing system. Don't worry, if your post should be in another topic, the Zendesk Community Team will move your post to the correct topic.Here are a few guidelines on how to use the Product Feedback topic, so that our Product team can effectively use and apply your feedback to our product planning process:Follow the Community Code of ConductFeedback and constructive criticism are welcome. Disparaging, harassing, mean, or snarky remarks about Zendesk, its employees, vendors, partners, or other community members will not be tolerated. We’re all friends and professionals, so let’s keep it polite. We don’t like having to remove comments, but we reserve the right to do so without warning in order to maintain a positive community experience for everyone.If it's a bug, contact supportThis topic is for sharing ideas about the product. If you're reporting an actual bug, you should contact Zendesk Customer Support so they can assist further.SEARCH before you postWe receive hundreds of feedback posts every month, so there's a good chance someone has already made a suggestion similar to yours. Keeping conversations in existing threads makes them easier for others to find, and helps keep the Community organized. Here's how to filter your search:Vote for suggestions you likeVotes do matter! See a post or comment you like or agree with? Use that up arrow! Feel like making a post that just says ""+1""? Please use the upvote button instead. Post a comment to share your detailed use case.Use the template: Give details, examples, and tell us about the problem you’re trying to solveOur Product Managers are problem solvers! The most helpful Product Feedback posts are the ones that describe the nature and scope of a problem. Please use the template that is auto populated in the description box. Crafted with our PM’s, this template is meant to address the essential questions and provide the most comprehensible information available. Try to share the following information in your post or comment:Feature Request SummaryUse CaseProduct limitation or missing featureBusiness impact of limitation or missing featureOther necessary information or resourcesHere is a template for feature requests that will auto populate when you create a new post with product feedback.It's much easier for us to address a suggestion if we clearly understand the context of the issue, the problem, and why it matters to you.Rest assured we will read your post, but we may not respondOnce you post in our community, your feedback will be logged and acknowledged by a product feedback specialist to let you know it has been received.Our Product Managers dedicate time each week in the community to read your comments, answer your questions, ask you questions about your feedback, and lead conversations around areas they’re focused on.That said, we simply can't respond to everything. (Remember what we said about hundreds of post per month? ...yeah. There just aren’t enough hours in the day!)Zendesk team members may engage in conversations, ask follow-up questions, or even start threads on topics they’re exploring. If your post or comment doesn’t receive a response, don’t worry. We’ve seen it, and we’ll let you know if and when we have any updates to share.Posts are not guaranteed a response, or inclusion in any product backlogs or roadmaps. This forum is simply for sharing your challenges and how you use the product, but it is not a case/resolution system.Our product teams have also committed to providing updates each quarter following their regular roadmap planning meetings. We’ll let you know what we’re incorporating into our roadmap, and what we aren’t.We don’t share timelinesOccasionally, we’ll share very general ideas of what is or isn’t on a roadmap, or roughly when you might expect to see something roll out. However, we do not share specific dates. Any timelines we share are not guaranteed and are subject to change without notice.There are situations where we aren't ready to share what we're up to or it's not reasonable for us to give specifics. While we are as up front as we can be, our roadmap is full of projects and we generally don’t provide timelines for new features or changes. If we do provide a timeline, know that it is subject to change.Post maintenance and archivingRequests that have been inactive (have not received a new comment) for 6+ months will be archived. These are retained internally and remain visible to product managers. This helps to keep the community navigable and helps us prioritize the requests that are most important to the largest number of users.This doesn't mean your idea was bad, or that it will never happen. It just means that it wasn't something that came up for a lot of users. Since we keep records, if the idea pops up again, we’ll aggregate those ideas behind the scenes and know when something keeps coming up.This also means that if there's an idea you like, be sure to stay active in that conversation!Comments that turn disparaging, mean, or are otherwise unhelpful to the conversation may be removed without warning. You're allowed to express frustration or dissatisfaction, just remember there are real people on the other side of the screen. Your boss and your neighbor can see these comments if they Google your name. So keep it civil and professional.Thank you for reading this and for understanding how we address suggestions. We value all feedback and we're happy to have a place to engage in these conversations.",Feedback - Admin Center
Shawna James,Product Feedback + Feature Request Post Template,https://support.zendesk.com/hc/en-us/community/posts/6207751704858-Product-Feedback-Feature-Request-Post-Template,09/29/2023,"We have launched a new feedback form for your product feedback and feature requests. This format is meant to help our PM’s get the most information from you to better understand and log your requests. This format will be rolled out at the end of 2023 and will be enforced as a requirement for all new posts to be logged and/or responded to by product managers.EXAMPLE:TITLE: Pizza Order ButtonPlease give a quick overview of your product feature request or feedback and note who in your org is affected by this issue [ex. agents, admins, customers, etc.]. (2-3 sentences)I would like to be able to order a pizza from my favorite restaurant directly by opening a Z2 ticket. This feature is currently affecting my agents because they are hungry and my customers because they are dealing with hungry and grumpy agents.What problem do you see this solving? (1-2 sentences)Agent team is working late and they are hungry, but the ticket queue is too high for any of them to leave and get pizza. This button would allow for a quick click, confirmation, and order without having to leave your desk. Customizable order templates for each employee would also be amazing!When was the last time you were affected by this lack of functionality, or specific tool? What happened? How often does this problem occur and how does this impact your business? (3-4 sentences)This problem happens on a daily basis. This is critical for our business as our agents get very hungry which affects their productivity and our customer satisfaction score.Are you currently using a workaround to solve this problem? (If yes, please explain) (1-2 sentences)Yes, my agents have to manually order pizza on their phones using a third party app.What would be your ideal solution to this problem? How would it work or function? (1-2 sentences)I would like to see an option to order pizza in the upper right hand corner of my screen, represented by a pizza emoji which, when I click it, will take me directly to an order form for my nearest pizza shop. It would be great if the system could remember my previous order and use that data to speed up the ordering process.",Feedback - Admin Center
Faisal Shehzad  Faisal Shehzad,786,https://support.zendesk.com/hc/en-us/community/posts/6532768757786-786,12/25/2023,,Feedback - Admin Center
MG Jason,JWT SSO login issue,https://support.zendesk.com/hc/en-us/community/posts/6519830218138-JWT-SSO-login-issue,12/21/2023,"Recently, the JWT calling method is being changed from GET to POST through a notice mail.The way we're using it right now isSAML: Default Login MethodJWT: When accessing from the mobile app, log in to JWT through the landing pageHowever, when you proceed with POST JWT, you get the JavaScript syntax that goes to the SAML login page.The response data are as follows.<script type='text/javascript'>document.location.href='{Our SAML Login Page URL}?nrkey=xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx&returnURL=&nrval=xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx';</script>We need to use both JWT and SAML at the same time as we need to support both PC and mobile apps.",Feedback - Admin Center
Tom Erik Skjnsberg,No Response Regarding Agent Reduction,https://support.zendesk.com/hc/en-us/community/posts/6500523092506-No-Response-Regarding-Agent-Reduction,12/15/2023,"Why is it that Zendesk removed the ability for us to reduce agent seats ourselves without making sure that there is a proper response time for reduction requests.Ticket #12040050 has been open for nearly 2 months with zero response even after contacting our AM, and we will keep getting billed for more agent seats than we need/want until support gets around to answering.There need to be either a proper response time, or we need to be able to reduce agent seats ourselves when necessary.",Feedback - Admin Center
Patrycja Walencik,How do you identify duplicated macros? We want your feedback,https://support.zendesk.com/hc/en-us/community/posts/6495832008858-How-do-you-identify-duplicated-macros-We-want-your-feedback,12/14/2023,"Hi All,We're currently working on enhancing our features at Zendesk, and one area we're focusing on is identifying and managing duplicated macros. Your insights and experiences are invaluable, and we would greatly appreciate your input.We're interested in understanding your experiences with duplicated macros. Could you provide us with examples of duplicated macros that you've encountered?To aid in this, we kindly ask for the following:Screenshots of 2 or more macros recognized as duplicates indicate which one was deleted or archived and why. Understanding why these macros have been recognized as duplicates and what factors influenced these decisions would be incredibly helpful. Additionally, we'd like to know which factors you consider when deciding which macro should be retained and which one should be deleted.Please note that your privacy is our utmost priority. To ensure this, we ask that you send this information directly to me atpatrycja.walencik@zendesk.comrather than posting it publicly.We look forward to your insights and thank you in advance for your valuable contribution to this feature development.Best,Pati",Feedback - Admin Center
Olivier Mengu,"Bulk import of users as CSV, but no bulk export ?",https://support.zendesk.com/hc/en-us/community/posts/6491173110810-Bulk-import-of-users-as-CSV-but-no-bulk-export-,12/13/2023,"There is a ""Bulk Import"" feature to import users from a CSV file, but there is no corresponding ""Bulk Export"" as CSV. Only XML and JSON.I wanted to tranfer users from one instance to another, so it looks like the only way is to write my own CSV exporter using the API. And the specification of the CSV import doesn't include the fields for all the data I can export. For example, I don't see how to include the timezone of the user in the CSV import.",Feedback - Admin Center
Miroslav Adzic,Note-field in APPs,https://support.zendesk.com/hc/en-us/community/posts/6470912484378-Note-field-in-APPs,12/08/2023,"Hi,I would like to submit a formal request regarding the addition of a personal multiline notes field within the APPs section of the Admin Center, specifically under Zendesk Support apps>[APP].The inclusion of such a feature would significantly enhance our capabilities, allowing for more comprehensive and detailed notes to be recorded conveniently within the application interface.Your consideration of this enhancement request is greatly appreciated.Thank you for your attention to this matter.",Feedback - Admin Center
Grete Andersson,Display region of the chosen Data Center Location for accounts,https://support.zendesk.com/hc/en-us/community/posts/6467408030234-Display-region-of-the-chosen-Data-Center-Location-for-accounts,12/07/2023,"Hi,In relation to Data Storage Usage Dashboard update/release during december, 2023 it would be nice to visually be able to see the chosen region of the Data Center Location, for accounts with that feature added on.Now we have to request the info from Zendesk Support.Is there a plan to add that info to admin center any time soon?",Feedback - Admin Center
JB,"Feature request: Show ""Play only"" view on agents profile to non-admin roles via permission.",https://support.zendesk.com/hc/en-us/community/posts/6465303400602-Feature-request-Show-Play-only-view-on-agents-profile-to-non-admin-roles-via-permission-,12/07/2023,"Overview of your product feature request or feedback and note who in your org is affected by this issue: (2-3 sentences)I would like the ability to assign the permission for a Role to be able to view the ""Play only"" tab on a User Profile.Currently only Admins can see this by default. Other roles can navigate manually by editing the URL to include '/play_only' on the user profile page. Approx. 50 Team Leads in my organisation would find this useful to review skip reasons.What problem do you see this solving? (1-2 sentences)Provide more visibility on skipped tickets (lacking in Explore too) for team leads.When was the last time you were affected by this lack of functionality, or specific tool? What happened? How often does this problem occur and how does this impact your business? (3-4 sentences)Today. Reporting on ticketing avoidance and finding areas for training. Low impact.Are you currently using a workaround to solve this problem? (If yes, please explain) (1-2 sentences)Team leads need admin access or need to manually change their URL for each agent.What would be your ideal solution to this problem? How would it work or function? (1-2 sentences)Provide role permission to show this. Alternatively, reporting in Explore.",Feedback - Admin Center
